#id,AGE,AGE (한글),MURDER TOOL,MURDER TOOL (한글),CLOTHE,CLOTHE (한글),SHOES,SHOES (한글),HEADWEAR,HEADWEAR (한글),ACCESSORY,ACCESSORY (한글),JOB,JOB (한글),TIME,TIME (한글),PLACE,PLACE (한글),SOUND,SOUND (한글),TRACE,TRACE (한글)
6712,30s,"30대 중반",Fishing Wire,"낚싯줄",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Suede Boat shoes,"갈색 스웨이드 보트슈즈",Dandy Hairstyle,"검은색 댄디 컷",Leg Prosthetics,"의족",Cleaner,"청소부",Night,"헬리콥터 프로펠러 소리",Lonesome Bus Station,"오후 6시",Propeller Sound,"인적 드문 시골의 유일한 버스 정류장",Fly,"파리 시체 한 마리"
6713,40s,"40대 후반",Rusty Shotgun,"청테이프가 감긴 녹슨 샷건",Printed Black Tshirt,"영어 문구가 쓰여져 있는 검은색 반팔",Knee High Wellies,"무릎까지 오는 고무 장화",High Ponytail,"장발을 높게 묶은 포니테일",Engagement Ring,"네 번째 손가락에 반지",Soldier,"군인",Deep Dawn,"종이컵을 잘근잘근 씹는 소리",Hostel (Normal Dorm),"오전 3시",Chewing Paper Cup,"세계 각국의 여행자가 머무르는 호스텔",Crumpled Cigarette Package,"구겨진 담배갑"
6714,30s,"30대 중반",Ivory Bowie Knife,"상아로 만든 손잡이가 달린 수집용 보위 나이프",Ivy League Hoodie,"해외 대학교 로고와 이름이 수놓아진 붉은색 후드 티셔츠",Black Long Boots,"검은색 10홀 가죽 워커",Long Permed Hair,"장발의 파마머리",Electronics Anklet,"전자 발찌",Guard,"경호원",Night,"불규칙한 발걸음 소리",Single Corridor Apartment,"오후 6시",Irregular Walking Sound,"낡은 복도식 아파트",Glass Fragments,"유리 파편"
6715,60s,"60대 중반",Broken Soju Bottle,"진 330ML 초록색 소주병",Luxury Brown Shearing,"명품 브랜드의 옅은 갈색 무스탕",Red Converse,"빨간색 컨버스 운동화",Brown Short Babyperm,"짙은 갈색의 짧은 베이비 펌 커트 머리",Millitary Backpack,"군용 밀리터리 백팩",Sanitation Worker,"환경미화원",Morning,"사람들의 대화 소리",Room Cafe,"오전 9시",People Having Conversation,"대학교 앞에 위치한 룸카페",Erased Blood Stain,"루미놀 검사로 발견된 지워진 혈액 자국"
6716,20s,"20대 초반",Wooden Handle Cleaver,"나무 손잡이가 달린 중식도",Green Hiking Jacket,"연두색/회색 배색의 등산복",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Buzz cut hair,"반삭",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Nurse,"간호사",Late Night,"자동차 브레이크 소리",Motel in Backstreet,"오후 9시",Skid Sounds,"모텔촌에 위치한 낡은 모텔",Irregular Footprints,"알 수 없는 패턴의 발자국"
6717,50s,"50대 초반",Walther PPK .32ACP,"장식용 32구경 PPK 독일제",China Collar Shirt,"땀으로 젖은 차이나 칼라 와이셔츠",White Stained Boots,"흰색의 얼룩진 8홀 가죽 워커",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Model,"모델",Morning,"무언가를 자르는 소리",Officetel Management Office,"오전 9시",Cutting Something,"오피스텔 관리실",Bloodstained Everywhere,"혈액이 튄 벽지와 바닥"
6718,40s,"40대 후반",Poisoned Medicine,"부자탕 한약",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Thigh High Wellies,"허벅지까지 오는 고무 장화",Long Hair,"어깨선을 넘는 장발",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Athletic Trainer,"스포츠 트레이너",Night,"날붙이가 떨어지는 소리",Famous Traditional Market,"오후 6시",Cutlery Falling down,"지방의 유명 여행지로 유명한 재래 시장",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
6719,20s,"20대 초반",Ivory Bowie Knife,"상아로 만든 손잡이가 달린 수집용 보위 나이프",Emerald Coach Jacket,"어두운 초록색의 코치 자켓",White Basketball Shoes,"흰색 농구화",Long Blonde hair,"장발의 금발 머리",Drop earrings,"아주 긴 드롭형 귀걸이",Nurse,"간호사",Late Night,"휘파람 소리",Haunted House,"오후 9시",Whistle,"귀신이 들렸다고 소문난 버려진 폐가",Arson Attempt,"방화 시도의 흔적"
6720,20s,"20대 초반",Teracotta Pot,"흙으로 꽉 찬 7kg 토분",Purple Short Cardigan,"짙은 보라색의 짧은 니트 가디건",Thigh High Wellies,"허벅지까지 오는 고무 장화",High Ponytail,"장발을 높게 묶은 포니테일",Eyebrow Piercing,"눈썹 피어싱",Sanitation Worker,"환경미화원",Early Morning,"체온계 온도 체크하는 소리",Private English Academy,"오전 6시",Thermometer Noise,"학원가 건물 5층의 영어 학원",Ripped Cloth,"찢어진 옷소매"
6721,40s,"40대 후반",Wrapped Blowfish Sashimi,"포장된 복어회",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Bare Foot,"그냥 맨발",Buzz cut hair,"반삭",Drop earrings,"아주 긴 드롭형 귀걸이",Actor,"배우",Night,"TV 속 스포츠 방송 중계 소리",Broken Street Lamp,"오후 6시",TV Sports Commentaries,"고장난 가로등이 있는 골목길",Cigarette Butts,"필터만 남은 담배꽁초"
6722,50s,"50대 초반",Wooden Handle Hatchet,"나무 손잡이가 달린 캠핑용 도끼",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Dandy Hairstyle,"검은색 댄디 컷",Electronics Anklet,"전자 발찌",Sanitation Worker,"환경미화원",Late Afternoon,"물이 흐르는 소리",Passenger Seat,"오후 3시",Water Flowing Sound,"검정색 중형 세단의 조수석",Irregular Footprints,"알 수 없는 패턴의 발자국"
6723,40s,"40대 후반",Golf Club,"4번 아이언 골프 클럽",Jersey Zip Hoodie,"저지 소재 트레이닝복",Suede Boat shoes,"갈색 스웨이드 보트슈즈",Dandy Hairstyle,"검은색 댄디 컷",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Chef,"요리사",Late Night,"고기 굽는 소리",Small Theater Onstage,"오후 9시",Grill the Meat,"대학로의 실내 소극장 무대 위",Black Hair,"검정색 머리카락"
6724,40s,"40대 후반",Wire Saw,"실처럼 얇은 와이어 톱",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",White Platform Sneakers,"키높이 흰색 스니커즈",Cherry Red Hair,"체리 레드 염색머리",Leg Prosthetics,"의족",Athlete,"운동선수",Deep Dawn,"파도 소리",Messy Dumpster Alley,"오전 3시",Sound of Wave,"원룸촌의 더러운 분리수거장",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
6725,30s,"30대 중반",Thick Rubber Wire,"검은색 두꺼운 전선",Jersey Zip Hoodie,"저지 소재 트레이닝복",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Short Hair,"숏컷",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Nurse,"간호사",Deep Dawn,"마우스 클릭 소리",Haunted House,"오전 3시",Computer Mouse Clicking,"귀신이 들렸다고 소문난 버려진 폐가",Fingerprints,"지문 몇 점"
6726,20s,"20대 초반",Wooden Handle Hatchet,"나무 손잡이가 달린 캠핑용 도끼",Ivy League Hoodie,"해외 대학교 로고와 이름이 수놓아진 붉은색 후드 티셔츠",Knee High Wellies,"무릎까지 오는 고무 장화",Mid-long Straight Hair,"중단발의 검은 생머리",Millitary Backpack,"군용 밀리터리 백팩",Photographer,"포토그래퍼",Late Night,"종이컵을 잘근잘근 씹는 소리",Deep Forest,"오후 9시",Chewing Paper Cup,"길을 찾을 수 없는 깊은 숲 속",Arson Attempt,"방화 시도의 흔적"
6727,20s,"20대 초반",Desert Eagle,"소음기가 달린 데저트 이글 권총",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",White Stained Boots,"흰색의 얼룩진 8홀 가죽 워커",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Actor,"배우",Early Morning,"손 관절을 꺾는 소리",Messy Dumpster Alley,"오전 6시",Crack Knuckles,"원룸촌의 더러운 분리수거장",Fingerprints,"지문 몇 점"
6728,30s,"30대 중반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Grey Fleece Hoodie,"밝은 회색의 기모 후드집업",Black Converse,"검은색 컨버스 운동화",High Ponytail,"장발을 높게 묶은 포니테일",Eyebrow Piercing,"눈썹 피어싱",Chef,"요리사",Early Morning,"망치질 소리",Closed Factory,"오전 6시",Hammering Sound,"20년 전 문을 닫은 폐공장",Fibrous Tissues,"섬유 조직 몇 개"
6729,60s,"60대 중반",Desert Eagle,"소음기가 달린 데저트 이글 권총",Long Sleeve Tshirt,"소매가 매우 긴 기장의 청록색 티셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Pixie Cut,"앞머리가 있는 단정한 숏컷",Drop earrings,"아주 긴 드롭형 귀걸이",Cleaner,"청소부",Late Night,"런닝머신 돌아가는 소리",Lecture Hall,"오후 9시",Running Treadmill,"대학교 건물 안 강의실",Women`s Underwear,"여자 속옷"
6730,20s,"20대 초반",Red Chainsaw,"붉은색 손잡이의 큰 전기톱",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Ivory Converse,"아이보리색 컨버스 운동화",Short Hair,"숏컷",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Mechanic,"정비공",Deep Dawn,"휘파람 소리",Big Square Onstage,"오전 3시",Whistle,"넓은 광장에 설치된 야외 무대 위",Maggot,"이제 막 태어난 작은 구더기"
6731,20s,"20대 초반",Fabric Scissors,"원단 재단용 가위",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",Bare Foot,"그냥 맨발",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Lip Piercing,"입술 피어싱",Sanitation Worker,"환경미화원",Morning,"헬리콥터 프로펠러 소리",Messy Dumpster Alley,"오전 9시",Propeller Sound,"원룸촌의 더러운 분리수거장",Crumpled Cigarette Package,"구겨진 담배갑"
6732,20s,"20대 초반",Female Stocking,"여성용 커피색 스타킹",Printed Black Tshirt,"영어 문구가 쓰여져 있는 검은색 반팔",Red Converse,"빨간색 컨버스 운동화",Buzz cut hair,"반삭",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Janitor,"경비원",Late Night,"자동차 브레이크 소리",Room Cafe,"오후 9시",Skid Sounds,"대학교 앞에 위치한 룸카페",Used Toilet Paper,"사용한 휴지 몇 장"
6733,20s,"20대 초반",Monkey Wrench,"빨간색 12인치 몽키 스패너",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Red Football Boots,"빨간색/검은색 배색의 축구화",Cherry Red Hair,"체리 레드 염색머리",Engagement Ring,"네 번째 손가락에 반지",Mechanic,"정비공",Morning,"헬리콥터 프로펠러 소리",Deep Forest,"오전 9시",Propeller Sound,"길을 찾을 수 없는 깊은 숲 속",Fibrous Tissues,"섬유 조직 몇 개"
6734,70s,"70대 후반",Submachine Gun K16,"기관단총 K16",Jersey Zip Hoodie,"저지 소재 트레이닝복",Black Converse,"검은색 컨버스 운동화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Nurse,"간호사",Late Night,"전기톱 소리",Single Corridor Apartment,"오후 9시",Sound of Chainsaw,"낡은 복도식 아파트",Crumpled Cigarette Package,"구겨진 담배갑"
6735,20s,"20대 초반",Desert Eagle,"소음기가 달린 데저트 이글 권총",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Knee High Wellies,"무릎까지 오는 고무 장화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Engineer,"연구원",Morning,"사람들의 대화 소리",Motel in Downtown,"오전 9시",People Having Conversation,"번화가에 위치한 빌딩 7층의 모텔",Chewed Gum,"구겨진 은박지에 싸인 씹던 껌"
6736,30s,"30대 중반",Rusty Shotgun,"청테이프가 감긴 녹슨 샷건",Green Hiking Jacket,"연두색/회색 배색의 등산복",Chess Patteren loafer,"체스판 무늬의 슬립온",Pixie Cut,"앞머리가 있는 단정한 숏컷",Engagement Ring,"네 번째 손가락에 반지",Lawyer,"변호사",Night,"맨발로 모래 밟는 소리",Messy Dumpster Alley,"오후 6시",Sand Stepping Barefoot,"원룸촌의 더러운 분리수거장",Cigarette Butts,"필터만 남은 담배꽁초"
6737,50s,"50대 초반",Rusty Shotgun,"청테이프가 감긴 녹슨 샷건",Varsity Jacket,"대학교와 학과 이름, 학번과 기수가 수놓인 자켓",Red Football Boots,"빨간색/검은색 배색의 축구화",Buzz cut hair,"반삭",Stud Earrings,"귀에 딱 붙는 귀걸이",Mart Cashier,"마트 직원",Night,"신음 참는 소리",New Guest House,"오후 6시",Bearing Groaning,"바닷가에 위치한, 청년들이 운영하는 게스트 하우스",Black Hair,"검정색 머리카락"
6738,40s,"40대 후반",Black Handled Scissors,"검은색 손잡이의 주방용 가위",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",Black Long Boots,"검은색 10홀 가죽 워커",Long Hair,"어깨선을 넘는 장발",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Firefighter,"소방관",Morning,"사물이 아스팔트 바닥에 끌리는 소리",Karaoke Underground,"오전 9시",Draw On Asphalt,"지하 1층의 노래방",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
6739,50s,"50대 초반",Rusty Shotgun,"청테이프가 감긴 녹슨 샷건",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",Chess Patteren loafer,"체스판 무늬의 슬립온",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Tennis Wristband,"스포츠 손목 보호대",Nurse,"간호사",Late Night,"TV 속 스포츠 방송 중계 소리",Small Old Supermarket,"오후 9시",TV Sports Commentaries,"동네의 작고 낡은 슈퍼마켓",Irregular Footprints,"알 수 없는 패턴의 발자국"
6740,30s,"30대 중반",Venomous Snake Cage,"독사가 든 케이지",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",Black Boots,"검은색 8홀 가죽 워커",Long Curly Hair,"장발의 곱슬머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Mechanic,"정비공",Around Midnight,"망치질 소리",Messy Goshiwon,"밤 12시",Hammering Sound,"관리가 되지 않아 더러운 고시원",Maggot,"이제 막 태어난 작은 구더기"
6741,20s,"20대 초반",Iron Coping Saw,"쇠 손잡이의 무거운 줄톱",Yellow Short Cardigan,"노란색 짧은 니트 가디건",Bare Foot,"그냥 맨발",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Soldier,"군인",Early Morning,"거센 바람 소리",Inside Taxi,"오전 6시",Strong Wind,"택시 안",Written In Blood,"핏자국으로 그린 표식"
6742,20s,"20대 초반",Mechanical Pencil,"쇠로 만들어진 제도용 샤프 펜슬",Lace Blouse,"가슴 부분에 프릴이 달린 블라우스",Black Chelsea Boots,"검은색 첼시 부츠",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Black Backpack,"검은색 백팩",Engineer,"연구원",Early Morning,"휘파람 소리",Cargo Truck Back,"오전 6시",Whistle,"H사 포터 트럭의 짐칸",Cigarette Butts,"필터만 남은 담배꽁초"
6743,20s,"20대 초반",Pesticide,"페트병에 담겨 있는 농약",Grey Fleece Hoodie,"밝은 회색의 기모 후드집업",Black Converse,"검은색 컨버스 운동화",Long Blonde hair,"장발의 금발 머리",Stud Earrings,"귀에 딱 붙는 귀걸이",Soldier,"군인",Night,"가스레인지를 켜는 소리",PC cafe,"오후 6시",Gas Range On,"중학교 앞 건물 2층의 최신식 PC방",Empty Cartridge,"탄피 몇 개"
6744,70s,"70대 후반",Piano Wire,"피아노줄",Emerald Coach Jacket,"어두운 초록색의 코치 자켓",Red Football Boots,"빨간색/검은색 배색의 축구화",Dandy Hairstyle,"검은색 댄디 컷",Millitary Backpack,"군용 밀리터리 백팩",Chef,"요리사",Late Night,"턱 관절이 어긋나는 소리",Hostel (Normal Dorm),"오후 9시",Twisting Jaw joint,"세계 각국의 여행자가 머무르는 호스텔",Weapon With Fingerprint,"알 수 없는 지문이 묻어 있었던 그 흉기"
6745,20s,"20대 초반",Poisoned Cool-Aid,"냄새가 이상한 레몬에이드",Green Hiking Jacket,"연두색/회색 배색의 등산복",Black Low Sneakers,"검은색 낮은 운동화",Long Blonde hair,"장발의 금발 머리",Eyebrow Piercing,"눈썹 피어싱",Mart Cashier,"마트 직원",Night,"손 관절을 꺾는 소리",University Hospital,"오후 6시",Crack Knuckles,"역 주변에 위치한 대형 대학병원",Arson Attempt,"방화 시도의 흔적"
6746,20s,"20대 초반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",Ivory Converse,"아이보리색 컨버스 운동화",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Silver Stainless Ring,"은색 써지컬 반지",Actor,"배우",Morning,"가방 안 물건들이 흔들리는 소리",Haunted House,"오전 9시",Backpack Stuff Shaking,"귀신이 들렸다고 소문난 버려진 폐가",Fly,"파리 시체 한 마리"
6747,20s,"20대 초반",Heavy Glass Ashtray,"화려하게 장식된 무거운 유리 재떨이",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Ochre Leather Loper,"황토색 가죽 로퍼",Short Hair,"숏컷",Black Backpack,"검은색 백팩",Engineer,"연구원",Morning,"런닝머신 돌아가는 소리",Underground Grocery Store,"오전 9시",Running Treadmill,"프랜차이즈 대형 마트 지하 1층 식품 코너",Used Toilet Paper,"사용한 휴지 몇 장"
6748,70s,"70대 후반",Wrapped Blowfish Sashimi,"포장된 복어회",Grey Fleece Hoodie,"밝은 회색의 기모 후드집업",White Platform Sneakers,"키높이 흰색 스니커즈",High Ponytail,"장발을 높게 묶은 포니테일",Black Backpack,"검은색 백팩",Hotel Receptionist,"호텔 접수원",Late Afternoon,"삽으로 흙을 파는 소리",Self Service Cafe,"오후 3시",Digging With Shovel,"낡은 공장을 개조해 만든 무인 카페",Women`s Underwear,"여자 속옷"
6749,20s,"20대 초반",Expandable Nightstick,"검은색 호신용 삼단 곤봉",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Chess Patteren loafer,"체스판 무늬의 슬립온",Comma Hairstyle,"검은색 쉼표 머리",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Engineer,"연구원",Late Night,"종이컵을 잘근잘근 씹는 소리",Inside Camping Car,"오후 9시",Chewing Paper Cup,"커스텀 캠핑카 안",Fly,"파리 시체 한 마리"
6750,50s,"50대 초반",Yellow Box Cutter,"노란색 공업용 커터칼",China Collar Shirt,"땀으로 젖은 차이나 칼라 와이셔츠",White Basketball Shoes,"흰색 농구화",Long Brown hair,"장발의 밝은 갈색 염색머리",Engagement Ring,"네 번째 손가락에 반지",Nurse,"간호사",Late Night,"파도 소리",Famous Traditional Market,"오후 9시",Sound of Wave,"지방의 유명 여행지로 유명한 재래 시장",Body Hair,"체모"
6751,60s,"60대 중반",Sealed Wine Bottle,"와인이 들어 있는 750ml 와인 병",Lace Blouse,"가슴 부분에 프릴이 달린 블라우스",Chess Patteren loafer,"체스판 무늬의 슬립온",Long Brown hair,"장발의 밝은 갈색 염색머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Hotel Receptionist,"호텔 접수원",Late Afternoon,"드릴 소리",House With Yard,"오후 3시",Drilling,"대문과 낮은 울타리가 있는 개인주택 마당",Black Wig Hair,"검정색 가발용 머리카락"
6752,30s,"30대 중반",Submachine Gun K16,"기관단총 K16",Undershirt,"흰색 런닝 셔츠",Black Converse,"검은색 컨버스 운동화",Pixie Cut,"앞머리가 있는 단정한 숏컷",Lip Piercing,"입술 피어싱",Guard,"경호원",Late Night,"사물이 미끄러져 박살나는 소리",Major Bank,"오후 9시",Slip and Crash,"번화가에 위치한 대형 은행",Arson Attempt,"방화 시도의 흔적"
6753,20s,"20대 초반",Wrapped Blowfish Sashimi,"포장된 복어회",Yellow Short Cardigan,"노란색 짧은 니트 가디건",Ochre Leather Loper,"황토색 가죽 로퍼",Dandy Hairstyle,"검은색 댄디 컷",Chocker Necklace,"초커",Mart Cashier,"마트 직원",Late Night,"자동차 브레이크 소리",Karaoke Underground,"오후 9시",Skid Sounds,"지하 1층의 노래방",Chewed Gum,"구겨진 은박지에 싸인 씹던 껌"
6754,30s,"30대 중반",Sniper Gun ULR338,"저격소총 ULR 338",Bulletproof Vest,"방탄 조끼",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Silver Stainless Ring,"은색 써지컬 반지",Hair Designer,"미용사",Late Night,"휘파람 소리",Members Only Studyroom,"오후 9시",Whistle,"학원가 건물 7층의 회원제 독서실",Glass Fragments,"유리 파편"
6755,60s,"60대 중반",Red Brick,"붉은색 벽돌",Pilot Bomber Jacket,"비닐 재질의 남색 항공 점퍼",Logo Printed Slider,"유명 브랜드 로고가 있는 슬리퍼",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Janitor,"경비원",Late Night,"망치질 소리",Old DVD room,"오후 9시",Hammering Sound,"오래된 건물 3층에 있는 DVD방",Paint Stain,"페인트 자국"
6756,60s,"60대 중반",Bottle of Propofol,"프로포폴 약병",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",Ivory Converse,"아이보리색 컨버스 운동화",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Silver Stainless Ring,"은색 써지컬 반지",Homeless,"노숙자",Late Night,"물이 흐르는 소리",Sashimi Restaurant,"오후 9시",Water Flowing Sound,"맛집으로 소문난 유명한 동네 작은 횟집",Arson Attempt,"방화 시도의 흔적"
6757,20s,"20대 초반",Submachine Gun K16,"기관단총 K16",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Black Converse,"검은색 컨버스 운동화",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Left Ear Pierced,"왼쪽 귀에 1개 이상의 피어싱",Mechanic,"정비공",Early Morning,"사람들의 대화 소리",Dumpster,"오전 6시",People Having Conversation,"전국의 쓰레기들을 처리하는 쓰레기장",Body Hair,"체모"
6758,20s,"20대 초반",Wooden Board,"공사장에서 사용하는 각목",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Comma Hairstyle,"검은색 쉼표 머리",Tennis Wristband,"스포츠 손목 보호대",Director,"연출가",Morning,"선풍기 소리",Dormitory High School,"오전 9시",Electric Fan Sound,"기숙사가 있는 자율형 사립고등학교",Used Toilet Paper,"사용한 휴지 몇 장"
6759,40s,"40대 후반",Wooden Handle Hatchet,"나무 손잡이가 달린 캠핑용 도끼",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Electronics Anklet,"전자 발찌",Sanitation Worker,"환경미화원",Late Night,"헬리콥터 프로펠러 소리",Cafe Terrace,"오후 9시",Propeller Sound,"1층 프랜차이즈 카페의 테라스",Written In Blood,"핏자국으로 그린 표식"
6760,20s,"20대 초반",Duct Tape,"청테이프",Grey Fleece Hoodie,"밝은 회색의 기모 후드집업",Ivory Converse,"아이보리색 컨버스 운동화",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Nose Piercing,"코 피어싱",Nurse,"간호사",Morning,"휘파람 소리",Motel in Downtown,"오전 9시",Whistle,"번화가에 위치한 빌딩 7층의 모텔",Maggot,"이제 막 태어난 작은 구더기"
6761,40s,"40대 후반",Tetrodotoxin Powder,"테트로도톡신 가루",Brown Wool Coat,"짙은 갈색의 울 코트",Knee High Wellies,"무릎까지 오는 고무 장화",Long Hair,"어깨선을 넘는 장발",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Nurse,"간호사",Around Midnight,"사람들의 대화 소리",Meat Cold Storage,"밤 12시",People Having Conversation,"도축된 가축들을 보관하는 냉동창고",Irregular Footprints,"알 수 없는 패턴의 발자국"
6762,20s,"20대 초반",Surgical Blade,"날카로운 의료용 메스",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Drop earrings,"아주 긴 드롭형 귀걸이",Athletic Trainer,"스포츠 트레이너",Deep Dawn,"날붙이가 떨어지는 소리",Luxury Club,"오전 3시",Cutlery Falling down,"간판 없는, 고층에 위치한 회원제 클럽",Irregular Footprints,"알 수 없는 패턴의 발자국"
6763,40s,"40대 후반",Desert Eagle,"소음기가 달린 데저트 이글 권총",Brown Wool Coat,"짙은 갈색의 울 코트",Suede Boat shoes,"갈색 스웨이드 보트슈즈",High Ponytail,"장발을 높게 묶은 포니테일",Engagement Ring,"네 번째 손가락에 반지",Hotel Receptionist,"호텔 접수원",Late Afternoon,"나지막한 대화 소리",Amusement Park Pillar,"오후 3시",Quite Conversation,"사람으로 늘 붐비는 실내 놀이공원의 기둥 앞",Glass Fragments,"유리 파편"
6764,40s,"40대 후반",Yellow Box Cutter,"노란색 공업용 커터칼",Brown Wool Coat,"짙은 갈색의 울 코트",Black Converse,"검은색 컨버스 운동화",Pomade Hair,"잘 정돈된 포마드 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Actor,"배우",Late Night,"손 관절을 꺾는 소리",Cargo Truck Back,"오후 9시",Crack Knuckles,"H사 포터 트럭의 짐칸",Empty Cartridge,"탄피 몇 개"
6765,30s,"30대 중반",Black Belt,"남성용 검정색 벨트",Pilot Bomber Jacket,"비닐 재질의 남색 항공 점퍼",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Black Disposable Mask,"검정색 일회용 마스크",Janitor,"경비원",Morning,"핸드폰 알람 소리",Old DVD room,"오전 9시",Phone Alarm Ringing,"오래된 건물 3층에 있는 DVD방",Lipstick Stained Cigarette,"립스틱이 묻은 담배꽁초"
6766,20s,"20대 초반",Flathead Screwdriver,"고무 손잡이가 달린 일자 드라이버",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",White Stained Boots,"흰색의 얼룩진 8홀 가죽 워커",Buzz cut hair,"반삭",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Soldier,"군인",Deep Dawn,"거센 바람 소리",Karaoke Underground,"오전 3시",Strong Wind,"지하 1층의 노래방",Black Hair,"검정색 머리카락"
6767,20s,"20대 초반",Walther PPK ,"검은색 발터 PPK 권총",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",Red Converse,"빨간색 컨버스 운동화",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Police Officer,"경찰",Late Night,"휘파람 소리",Closed Amusement Park,"오후 9시",Whistle,"넓은 공원의 폐장된 유원지",Headlight,"피가 묻은 헤드 라이트"
